"prov_cdc","enfermero","medico"
"ABANCAY",345,172
"ACOBAMBA",87,34
"ACOMAYO",27,17
"AIJA",7,4
"ALTO AMAZONAS",130,79
"AMBO",113,34
"ANDAHUAYLAS",421,166
"ANGARAES",86,35
"ANTA",48,26
"ANTABAMBA",38,16
"ANTONIO RAIMONDI",11,11
"AREQUIPA",1029,1112
"ASCOPE",59,44
"ASUNCION",6,2
"ATALAYA",20,15
"AYABACA",119,51
"AYMARAES",77,27
"AZANGARO",155,75
"BAGUA",191,77
"BARRANCA",281,196
"BELLAVISTA",27,20
"BOLIVAR",23,12
"BOLOGNESI",19,10
"BONGARA",22,15
"CAJABAMBA",85,43
"CAJAMARCA",554,328
"CAJATAMBO",11,7
"CALCA",83,45
"CALLAO",977,1339
"CAMANA",98,66
"CANAS",37,20
"CANCHIS",132,86
"CANDARAVE",13,8
"CAÑETE",287,210
"CANGALLO",86,45
"CANTA",18,13
"CARABAYA",78,50
"CARAVELI",40,30
"CARHUAZ",50,25
"CARLOS FERMIN FITZCARRALD",13,10
"CASMA",32,17
"CASTILLA",91,64
"CASTROVIRREYNA",54,26
"CAYLLOMA",153,115
"CELENDIN",57,21
"CHACHAPOYAS",166,83
"CHANCHAMAYO",226,123
"CHEPEN",60,69
"CHICLAYO",878,698
"CHINCHA",198,181
"CHINCHEROS",116,56
"CHOTA",249,85
"CHUCUITO",132,59
"CHUMBIVILCAS",96,46
"CHUPACA",39,15
"CHURCAMPA",33,26
"CONCEPCION",54,32
"CONDESUYOS",34,19
"CONDORCANQUI",62,27
"CONTRALMIRANTE VILLAR",22,18
"CONTUMAZA",45,20
"CORONEL PORTILLO",545,326
"CORONGO",8,4
"COTABAMBAS",106,45
"CUSCO",702,538
"CUTERVO",140,81
"DANIEL ALCIDES CARRION",44,22
"DATEM DEL MARAÑON",41,18
"DOS DE MAYO",65,18
"EL COLLAO",133,52
"EL DORADO",41,18
"ESPINAR",64,45
"FERREÑAFE",106,84
"GENERAL SANCHEZ CERRO",47,28
"GRAN CHIMU",25,20
"GRAU",59,23
"HUACAYBAMBA",25,10
"HUALGAYOC",93,39
"HUALLAGA",23,17
"HUAMALIES",88,33
"HUAMANGA",611,288
"HUANCA SANCOS",20,11
"HUANCABAMBA",105,71
"HUANCANE",103,34
"HUANCAVELICA",379,144
"HUANCAYO",732,468
"HUANTA",153,49
"HUANUCO",522,199
"HUARAL",327,280
"HUARAZ",328,143
"HUARI",61,37
"HUARMEY",29,13
"HUAROCHIRI",81,89
"HUAURA",334,238
"HUAYLAS",64,32
"HUAYTARA",75,36
"ICA",548,523
"ILO",98,73
"ISLAY",30,29
"JAEN",274,117
"JAUJA",169,80
"JORGE BASADRE",15,5
"JULCAN",35,23
"JUNIN",43,21
"LA CONVENCION",285,136
"LA MAR",138,56
"LA UNION",36,27
"LAMAS",43,30
"LAMBAYEQUE",260,169
"LAMPA",94,33
"LAURICOCHA",37,15
"LEONCIO PRADO",255,81
"LIMA",9390,10654
"LORETO",44,22
"LUCANAS",118,54
"LUYA",48,29
"MANU",38,20
"MARAÑON",34,14
"MARISCAL CACERES",37,22
"MARISCAL LUZURIAGA",17,10
"MARISCAL NIETO",193,101
"MARISCAL RAMON CASTILLA",17,12
"MAYNAS",577,409
"MELGAR",117,50
"MOHO",15,9
"MORROPON",146,122
"MOYOBAMBA",146,139
"NAZCA",96,58
"OCROS",8,6
"OTUZCO",99,59
"OXAPAMPA",100,83
"OYON",17,12
"PACASMAYO",79,59
"PACHITEA",61,17
"PADRE ABAD",54,35
"PAITA",121,95
"PALLASCA",25,20
"PALPA",27,17
"PARINACOCHAS",55,26
"PARURO",35,15
"PASCO",162,75
"PATAZ",76,34
"PAUCAR DEL SARA SARA",21,13
"PAUCARTAMBO",50,19
"PICOTA",21,21
"PISCO",198,128
"PIURA",532,360
"POMABAMBA",49,21
"PUERTO INCA",58,20
"PUNO",354,199
"PURUS",3,2
"PUTUMAYO",18,9
"QUISPICANCHI",82,38
"RECUAY",25,19
"REQUENA",14,14
"RIOJA",49,46
"RODRIGUEZ DE MENDOZA",29,22
"SAN ANTONIO DE PUTINA",26,10
"SAN IGNACIO",135,49
"SAN MARCOS",53,15
"SAN MARTIN",266,257
"SAN MIGUEL",63,18
"SAN PABLO",27,9
"SAN ROMAN",363,161
"SANCHEZ CARRION",112,53
"SANDIA",75,36
"SANTA",491,312
"SANTA CRUZ",53,19
"SANTIAGO DE CHUCO",52,37
"SATIPO",180,85
"SECHURA",54,23
"SIHUAS",48,22
"SUCRE",21,7
"SULLANA",309,194
"TACNA",462,340
"TAHUAMANU",25,12
"TALARA",29,19
"TAMBOPATA",215,104
"TARATA",18,10
"TARMA",160,48
"TAYACAJA",162,73
"TOCACHE",55,36
"TRUJILLO",886,1000
"TUMBES",250,175
"UCAYALI",21,16
"URUBAMBA",43,27
"UTCUBAMBA",129,56
"VICTOR FAJARDO",37,10
"VILCAS HUAMAN",28,11
"VIRU",50,32
"YAROWILCA",38,15
"YAULI",38,13
"YAUYOS",46,21
"YUNGAY",46,17
"YUNGUYO",67,24
"ZARUMILLA",35,21
