"prov_cdc","beds","physicians"
"ABANCAY",263,173
"ACOBAMBA",426,36
"ACOMAYO",0,12
"AIJA",10,8
"ALTO AMAZONAS",75,70
"AMBO",0,3
"ANDAHUAYLAS",119,77
"ANGARAES",28,50
"ANTABAMBA",0,1
"AREQUIPA",2103,3143
"ASCOPE",99,95
"ASUNCION",0,5
"ATALAYA",17,16
"AYMARAES",0,2
"AZANGARO",45,32
"BAGUA",88,51
"BARRANCA",184,102
"BELLAVISTA",36,24
"BOLIVAR",8,3
"BOLOGNESI",26,22
"CAJABAMBA",30,41
"CAJAMARCA",367,543
"CALCA",0,0
"CALLAO",1879,2492
"CAMANA",288,115
"CANAS",42,36
"CANCHIS",125,115
"CANDARAVE",4,18
"CAÑETE",161,155
"CANGALLO",64,49
"CARABAYA",18,43
"CARAVELI",10,14
"CARHUAZ",17,49
"CASMA",31,32
"CASTILLA",50,64
"CAYLLOMA",90,131
"CELENDIN",29,28
"CHACHAPOYAS",136,82
"CHANCHAMAYO",187,129
"CHEPEN",117,50
"CHICLAYO",1212,2344
"CHINCHA",223,207
"CHINCHEROS",0,4
"CHOTA",55,44
"CHUCUITO",34,18
"CHUMBIVILCAS",33,50
"CHUPACA",15,28
"CHURCAMPA",4,8
"CONCEPCION",61,35
"CONDESUYOS",14,15
"CONTRALMIRANTE VILLAR",11,21
"CONTUMAZA",68,35
"CORONEL PORTILLO",434,325
"CORONGO",0,4
"COTABAMBAS",28,10
"CUSCO",1130,823
"CUTERVO",81,97
"DANIEL ALCIDES CARRION",0,3
"DOS DE MAYO",40,8
"EL COLLAO",27,20
"EL DORADO",48,26
"ESPINAR",44,58
"FERREÑAFE",38,30
"GENERAL SANCHEZ CERRO",0,1
"GRAN CHIMU",16,7
"GRAU",0,1
"HUACAYBAMBA",7,11
"HUALGAYOC",21,29
"HUALLAGA",26,16
"HUAMALIES",14,32
"HUAMANGA",383,348
"HUANCA SANCOS",11,12
"HUANCABAMBA",0,0
"HUANCANE",30,18
"HUANCAVELICA",179,201
"HUANCAYO",844,1038
"HUANTA",70,36
"HUANUCO",391,385
"HUARAL",153,304
"HUARAZ",237,301
"HUARI",29,14
"HUARMEY",18,25
"HUAROCHIRI",15,16
"HUAURA",324,373
"HUAYLAS",45,34
"ICA",652,998
"ILO",110,106
"ISLAY",46,69
"JAEN",125,155
"JAUJA",115,75
"JORGE BASADRE",31,33
"JULCAN",45,36
"JUNIN",45,19
"LA CONVENCION",214,132
"LA MAR",60,33
"LA UNION",17,26
"LAMAS",37,37
"LAMBAYEQUE",134,83
"LAMPA",21,15
"LAURICOCHA",0,3
"LEONCIO PRADO",92,71
"LIMA",15127,24387
"LORETO",0,3
"LUCANAS",50,29
"MARISCAL CACERES",67,39
"MARISCAL LUZURIAGA",18,9
"MARISCAL NIETO",148,146
"MAYNAS",480,542
"MELGAR",56,22
"MORROPON",60,30
"MOYOBAMBA",153,152
"NAZCA",74,67
"OCROS",2,7
"OTUZCO",24,26
"OXAPAMPA",97,53
"PACASMAYO",110,86
"PACHITEA",0,2
"PADRE ABAD",30,34
"PAITA",134,87
"PALLASCA",0,4
"PALPA",30,10
"PARINACOCHAS",31,26
"PARURO",0,11
"PASCO",211,123
"PATAZ",15,7
"PAUCARTAMBO",0,19
"PISCO",62,70
"PIURA",644,1014
"POMABAMBA",46,25
"PUERTO INCA",0,1
"PUNO",332,244
"QUISPICANCHI",0,34
"RECUAY",7,20
"RIOJA",56,47
"RODRIGUEZ DE MENDOZA",17,7
"SAN IGNACIO",23,42
"SAN MARCOS",12,32
"SAN MARTIN",297,310
"SAN MIGUEL",28,40
"SAN PABLO",9,9
"SAN ROMAN",335,315
"SANCHEZ CARRION",44,61
"SANDIA",54,15
"SANTA",534,686
"SANTIAGO DE CHUCO",0,2
"SATIPO",97,129
"SIHUAS",43,23
"SUCRE",32,15
"SULLANA",322,261
"TACNA",390,657
"TALARA",89,125
"TAMBOPATA",124,87
"TARATA",2,20
"TARMA",100,43
"TAYACAJA",37,41
"TOCACHE",37,38
"TRUJILLO",1571,2216
"TUMBES",196,246
"UCAYALI",6,2
"UTCUBAMBA",63,42
"VICTOR FAJARDO",21,12
"VILCAS HUAMAN",16,26
"VIRU",26,24
"YAROWILCA",0,5
"YAULI",61,67
"YUNGAY",28,29
"YUNGUYO",31,15
"ZARUMILLA",46,50
